budget,matchup,base_seed,opening_id,leg,opening_plies,first_ai,second_ai,winner,moves,a_moves,b_moves,a_simulations,b_simulations,a_policy_evaluations,b_policy_evaluations,a_policy_inference_ns,b_policy_inference_ns,a_search_time_ns,b_search_time_ns
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,777,44,0,4,UCT_MCTS,MLP_ROOT_MCTS,UCT_MCTS,31,16,15,160000,150000,0,15,0,1516000,4169914000,3866183700
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,777,44,1,4,MLP_ROOT_MCTS,UCT_MCTS,MLP_ROOT_MCTS,27,13,14,130000,140000,0,14,0,1436400,3401966600,3650004200
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,777,45,0,2,UCT_MCTS,MLP_ROOT_MCTS,MLP_ROOT_MCTS,26,13,13,130000,130000,0,13,0,1332200,4644749400,4346907300
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,777,45,1,2,MLP_ROOT_MCTS,UCT_MCTS,UCT_MCTS,30,15,15,150000,150000,0,15,0,1568500,3932584800,4232461800
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,777,46,0,3,UCT_MCTS,MLP_ROOT_MCTS,MLP_ROOT_MCTS,30,15,15,150000,150000,0,15,0,1531100,4125634800,3910373300
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,777,46,1,3,MLP_ROOT_MCTS,UCT_MCTS,MLP_ROOT_MCTS,33,16,17,160000,170000,0,17,0,1787100,4100171800,4373767100
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,777,47,0,5,UCT_MCTS,MLP_ROOT_MCTS,DRAW,37,19,18,190000,180000,0,18,0,2080000,4740647900,4500623700
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,777,47,1,5,MLP_ROOT_MCTS,UCT_MCTS,MLP_ROOT_MCTS,31,15,16,150000,160000,0,16,0,1665600,3841414200,4105592600
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,777,48,0,3,UCT_MCTS,MLP_ROOT_MCTS,UCT_MCTS,27,14,13,140000,130000,0,13,0,1336800,3800626800,3495095000
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,777,48,1,3,MLP_ROOT_MCTS,UCT_MCTS,MLP_ROOT_MCTS,13,6,7,60000,70000,0,7,0,730900,1393155600,1628415500
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,777,49,0,2,UCT_MCTS,MLP_ROOT_MCTS,MLP_ROOT_MCTS,32,16,16,160000,160000,0,16,0,1923700,4689593000,4452721000
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,777,49,1,2,MLP_ROOT_MCTS,UCT_MCTS,UCT_MCTS,34,17,17,170000,170000,0,17,0,1893000,4802381300,5078624800
fixed_simulations,UCT_MCTS_vs_CNN_ROOT_MCTS,42,0,0,4,UCT_MCTS,CNN_ROOT_MCTS,UCT_MCTS,29,15,14,150000,140000,0,14,0,57318200,4217500200,3993585700
fixed_simulations,UCT_MCTS_vs_CNN_ROOT_MCTS,42,0,1,4,CNN_ROOT_MCTS,UCT_MCTS,CNN_ROOT_MCTS,29,14,15,140000,150000,0,15,0,57423900,3851413100,4219241400
fixed_simulations,UCT_MCTS_vs_CNN_ROOT_MCTS,42,1,0,6,UCT_MCTS,CNN_ROOT_MCTS,UCT_MCTS,9,5,4,50000,40000,0,4,0,15150300,906427900,920543100
fixed_simulations,UCT_MCTS_vs_CNN_ROOT_MCTS,42,1,1,6,CNN_ROOT_MCTS,UCT_MCTS,DRAW,36,18,18,180000,180000,0,18,0,67359200,3726404400,4045877700
fixed_simulations,UCT_MCTS_vs_CNN_ROOT_MCTS,42,2,0,2,UCT_MCTS,CNN_ROOT_MCTS,CNN_ROOT_MCTS,36,18,18,180000,180000,0,18,0,67201900,4713833600,4498823800
