pair_id,game_in_pair,opening_plies,mlp_moves_first,winner,moves_after_opening,mlp_search_ms,cnn_search_ms,mlp_simulations,cnn_simulations,mlp_policy_evals,cnn_policy_evals
37,1,6,0,MLP_MCTS,16,6082.518,6096.296,1624828,796,23474,780
38,0,4,1,MLP_MCTS,7,3042.012,2287.490,861537,297,11113,297
38,1,4,0,MLP_MCTS,12,4564.066,4571.421,1433069,638,17020,590
39,0,2,1,MLP_MCTS,25,9880.628,9126.628,2353054,3759,38189,1209
39,1,2,0,MLP_MCTS,26,9849.736,9872.398,5325937,500571,32181,1288
40,0,2,1,MLP_MCTS,21,8366.570,7621.015,1363304,1282,35004,1011
40,1,2,0,MLP_MCTS,30,11369.267,11428.782,5559970,861324,37595,1425
41,0,6,1,CNN_MCTS,16,6082.718,6099.226,37498,3487,24351,724
41,1,6,0,MLP_MCTS,16,6077.375,6095.109,2077831,4743,23105,762
42,0,6,1,CNN_MCTS,12,4574.292,4581.650,26418,14752,19745,605
42,1,6,0,CNN_MCTS,17,6096.680,6854.763,87215,6719,28500,907
43,0,3,1,MLP_MCTS,39,15152.530,14453.453,11018590,5347983,51997,1769
43,1,3,0,MLP_MCTS,4,1517.725,1521.637,1346490,231,4745,221
44,0,4,1,CNN_MCTS,22,8369.307,8362.595,1890725,36077,37921,1238
44,1,4,0,CNN_MCTS,29,10635.466,11409.578,1971454,4062,49632,1679
45,0,6,1,MLP_MCTS,5,2283.105,1520.693,628912,338,10159,225
45,1,6,0,MLP_MCTS,10,3801.451,3797.664,1398179,617,17071,563
46,0,4,1,MLP_MCTS,15,6080.930,5332.980,3349866,953,23001,777
46,1,4,0,MLP_MCTS,34,12876.725,12914.527,8073945,565378,47649,1855
47,0,6,1,MLP_MCTS,23,9107.081,8364.696,3215660,3144,39769,1231
47,1,6,0,CNN_MCTS,33,12108.046,12919.422,9680035,9189275,43998,1544
48,0,3,1,MLP_MCTS,23,9123.078,8361.711,1916999,1718,43447,1225
48,1,3,0,MLP_MCTS,14,5320.014,5320.881,2664654,1817,22842,772
49,0,3,1,MLP_MCTS,33,12892.312,12224.203,4418017,479095,36573,1263
49,1,3,0,CNN_MCTS,39,14391.576,15316.259,5886939,6419327,30667,1190
50,0,2,1,MLP_MCTS,29,11379.211,10739.088,3775218,353181,27520,984
50,1,2,0,MLP_MCTS,8,3039.997,3068.730,923593,295,6542,283
51,0,6,1,MLP_MCTS,25,9859.011,9190.976,3817422,196493,23160,834
51,1,6,0,MLP_MCTS,30,11362.838,11498.961,4485786,1209496,26460,1004
52,0,4,1,CNN_MCTS,32,12126.565,12254.122,3404260,2577073,30733,1112
52,1,4,0,MLP_MCTS,14,5321.074,5354.983,1280069,525,14562,520
53,0,3,1,CNN_MCTS,26,9877.980,9954.731,803064,15465,28491,937
53,1,3,0,MLP_MCTS,6,2280.373,2298.260,1080151,237,5268,211
54,0,3,1,MLP_MCTS,35,13626.872,12947.757,10392745,4766224,40229,1486
54,1,3,0,MLP_MCTS,10,3805.617,3800.896,1560585,1067,15505,551
55,0,5,1,MLP_MCTS,25,9883.800,9133.117,3284878,2449,43564,1306
55,1,5,0,CNN_MCTS,29,10611.343,11405.031,7167203,7792554,36385,1392
56,0,6,1,MLP_MCTS,9,3795.580,3045.533,2510578,6225,14217,441
56,1,6,0,CNN_MCTS,9,3048.180,3803.540,19355,4991,15024,552
57,0,2,1,MLP_MCTS,5,2279.464,1525.205,1233432,310,8103,222
57,1,2,0,MLP_MCTS,28,10610.113,10653.383,3893567,1773,43685,1559
58,0,2,1,CNN_MCTS,32,12142.815,12166.287,5209376,4794757,41291,1486
58,1,2,0,CNN_MCTS,31,11397.263,12196.556,2385748,1759148,41881,1491
59,0,6,1,CNN_MCTS,14,5328.193,5349.328,27433,7834,20397,633
59,1,6,0,MLP_MCTS,16,6086.899,6121.023,2776614,838,20079,730
60,0,6,1,MLP_MCTS,9,3805.247,3054.807,657739,401,13254,351
60,1,6,0,MLP_MCTS,24,9093.018,9178.369,3515637,16172,26935,1058
61,0,4,1,MLP_MCTS,35,13664.640,13008.983,5297404,2510446,32718,1122
61,1,4,0,MLP_MCTS,10,3813.454,3825.907,668443,339,8709,336
62,0,5,1,MLP_MCTS,31,12141.537,11554.406,2633078,1109,28007,916
62,1,5,0,MLP_MCTS,28,10624.410,10750.662,3116795,1190,25067,953
63,0,5,1,MLP_MCTS,29,11393.150,10684.240,7220893,2959555,26985,1038
63,1,5,0,MLP_MCTS,26,9873.562,9949.635,4927870,28354,31539,1134
64,0,5,1,CNN_MCTS,14,5337.596,5350.984,28993,80635,19307,606
64,1,5,0,MLP_MCTS,12,4567.573,4567.531,972693,553,17139,553
65,0,6,1,MLP_MCTS,7,3051.386,2293.874,1285593,283,10167,281
65,1,6,0,DRAW,36,13601.081,13705.328,11182852,6652330,32190,1319
66,0,6,1,MLP_MCTS,5,2282.863,1530.966,1078857,205,6807,197
66,1,6,0,MLP_MCTS,32,12096.050,12201.156,10035547,5571543,32096,1203
67,0,4,1,MLP_MCTS,29,11375.163,10719.050,4449738,655441,34907,1129
67,1,4,0,MLP_MCTS,34,12868.782,13010.821,7538693,1599621,29775,1236
68,0,2,1,MLP_MCTS,5,2284.606,1526.781,872791,196,6761,174
68,1,2,0,MLP_MCTS,30,11383.429,11479.073,4537534,389190,28082,1086
69,0,5,1,CNN_MCTS,4,1534.774,1530.798,6504,772,4309,147
69,1,5,0,CNN_MCTS,37,13631.290,14600.104,3963437,5065446,32005,1097
70,0,2,1,MLP_MCTS,15,6092.573,5385.147,827860,406,12591,399
70,1,2,0,MLP_MCTS,38,14372.104,14645.355,6874225,3108319,19055,894
71,0,5,1,MLP_MCTS,23,9124.014,8500.733,773122,614,18765,590
71,1,5,0,MLP_MCTS,28,10618.420,10794.547,2946006,4534,17813,758
72,0,5,1,MLP_MCTS,7,3042.524,2308.007,600792,166,5934,169
72,1,5,0,CNN_MCTS,33,12132.509,13109.576,2040739,2735389,21797,834
73,0,6,1,MLP_MCTS,13,5328.433,4634.352,901397,364,10482,328
73,1,6,0,MLP_MCTS,28,10624.501,10816.956,1740644,773,21048,755
74,0,2,1,DRAW,40,15139.693,15415.508,4490516,4317682,22253,944
74,1,2,0,MLP_MCTS,14,5326.460,5389.458,868969,431,11075,394
75,0,4,1,MLP_MCTS,3,1519.260,768.800,646590,203,2805,60
75,1,4,0,MLP_MCTS,30,11371.329,11513.412,4737258,831337,22884,932
76,0,3,1,MLP_MCTS,27,10633.859,9964.436,2172289,956,28887,900
76,1,3,0,MLP_MCTS,20,7601.494,7668.876,1857446,714,20261,704
77,0,5,1,MLP_MCTS,37,14384.032,13808.427,7797440,3707161,27689,1052
77,1,5,0,MLP_MCTS,4,1519.546,1528.180,802606,138,3372,134
78,0,5,1,MLP_MCTS,5,2274.026,1530.269,2318010,210,5210,182
78,1,5,0,MLP_MCTS,16,6091.878,6128.615,869571,695,18976,648
79,0,2,1,MLP_MCTS,13,5327.356,4610.163,1650980,880,11242,383
79,1,2,0,MLP_MCTS,30,11355.077,11486.283,8739936,4046965,20888,923
80,0,5,1,MLP_MCTS,27,10617.128,9921.151,4471071,627952,34329,1091
80,1,5,0,MLP_MCTS,24,9107.966,9149.994,2554552,1725,32583,1042
81,0,6,1,MLP_MCTS,5,2278.001,1524.912,1469359,189,6352,191
81,1,6,0,MLP_MCTS,14,5324.790,5367.454,1494636,613,14075,568
82,0,4,1,MLP_MCTS,17,6839.205,6136.518,1921157,862,18132,591
82,1,4,0,MLP_MCTS,28,10592.075,10704.602,6583942,1424853,23483,1007
83,0,6,1,MLP_MCTS,17,6829.016,6098.083,2574700,3502,20674,708
83,1,6,0,MLP_MCTS,28,10600.524,10713.963,6628196,2336959,21069,860
84,0,3,1,MLP_MCTS,9,3804.111,3052.130,2046245,352,10596,340
84,1,3,0,MLP_MCTS,4,1517.259,1528.219,1114977,201,4546,193
85,0,5,1,MLP_MCTS,7,3039.911,2296.316,1135272,277,8160,238
85,1,5,0,MLP_MCTS,18,6843.144,6899.243,406790,866,17925,602
86,0,4,1,MLP_MCTS,11,4560.959,3830.763,305911,457,13802,374
86,1,4,0,CNN_MCTS,27,9870.133,10667.765,1088877,92967,34433,1285
87,0,5,1,MLP_MCTS,7,3040.679,2292.336,1665018,315,9959,296
87,1,5,0,DRAW,37,13614.524,14472.926,8577595,9062310,36621,1433
88,0,6,1,CNN_MCTS,28,10592.163,10641.946,6088074,6014107,29819,1169
88,1,6,0,MLP_MCTS,22,8334.364,8391.131,3885836,1542,29369,1078
89,0,5,1,MLP_MCTS,21,8335.988,7620.151,3998225,5218,27688,964
89,1,5,0,CNN_MCTS,29,10599.879,11440.338,3686659,3182154,31347,1242
90,0,4,1,MLP_MCTS,21,8359.741,7670.563,1241074,729,23179,730
90,1,4,0,MLP_MCTS,16,6088.515,6127.824,1017997,1093,14244,507
91,0,4,1,MLP_MCTS,3,1520.264,768.336,634654,61,3025,62
91,1,4,0,CNN_MCTS,17,6083.025,6922.827,17132,1519,16102,591
92,0,5,1,CNN_MCTS,28,10605.647,10713.103,3227035,3066615,26686,1029
92,1,5,0,MLP_MCTS,20,7597.213,7632.481,1690658,2141,29744,966
93,0,6,1,MLP_MCTS,7,3038.330,2286.863,1653367,359,10177,293
93,1,6,0,MLP_MCTS,26,9867.206,9926.737,2612416,1199,33550,1117
94,0,6,1,CNN_MCTS,20,7605.312,7624.056,50041,1834,31772,978
94,1,6,0,MLP_MCTS,2,757.105,761.224,1287637,100,1483,95
95,0,6,1,MLP_MCTS,27,10598.094,9896.681,5686432,7391,35078,1291
95,1,6,0,CNN_MCTS,29,10607.006,11425.800,866356,9052,38089,1431
96,0,2,1,MLP_MCTS,5,2276.504,1522.174,1315329,987,6937,206
96,1,2,0,MLP_MCTS,32,12104.779,12178.585,7319597,1884068,38357,1467
97,0,3,1,MLP_MCTS,15,6075.687,5333.054,2162351,778,22475,687
97,1,3,0,MLP_MCTS,20,7604.747,7640.809,630806,1130,31126,984
98,0,4,1,CNN_MCTS,16,6080.643,6089.545,83186,13939,24773,781
98,1,4,0,MLP_MCTS,8,3033.112,3042.663,2110078,416,8721,386
99,0,6,1,MLP_MCTS,3,1515.236,764.359,1480963,348,4337,99
99,1,6,0,MLP_MCTS,12,4550.574,4578.726,2379523,776,15988,592
